date_started,date_ended,title,author,pages,category,subcategory,country,my_rating,publication_year
2021-01-15,2021-01-16,"Ajin: Demi-Human, Vol. 2 (Ajin: Demi-Human, #2)",Gamon Sakurai,200,fiction,manga,Japan,4,2013
2021-01-15,2021-01-17,"Ajin: Demi-Human, Vol. 3 (Ajin: Demi-Human, #3)",Gamon Sakurai,194,fiction,manga,Japan,4,2013
2021-01-20,2021-01-23,"Ajin: Demi-Human, Vol. 4 (Ajin: Demi-Human, #4)",Gamon Sakurai,194,fiction,manga,Japan,4,2014
2021-01-23,2021-01-24,"Ajin: Demi-Human, Vol. 5 (Ajin: Demi-Human, #5)",Gamon Sakurai,194,fiction,manga,Japan,4,2014
2021-01-24,2021-01-25,"Ajin: Demi-Human, Vol. 6 (Ajin: Demi-Human, #6)",Gamon Sakurai,194,fiction,manga,Japan,4,2015
2021-01-26,2021-01-28,"Ajin: Demi-Human, Vol. 7 (Ajin: Demi-Human, #7)",Gamon Sakurai,202,fiction,manga,Japan,4,2015
2021-01-30,2021-01-31,"Ajin: Demi-Human, Vol. 8 (Ajin: Demi-Human, #8)",Gamon Sakurai,220,fiction,manga,Japan,4,2016
2021-01-31,2021-02-01,"Ajin: Demi-Human, Vol. 9 (Ajin: Demi-Human, #9)",Gamon Sakurai,200,fiction,manga,Japan,4,2016
-,2021-02-06,"Ajin: Demi-Human, Vol. 10 (Ajin: Demi-Human, #10)",Gamon Sakurai,194,fiction,manga,Japan,4,2017
2021-02-07,2021-02-07,"Ajin: Demi-Human, Vol. 11 (Ajin: Demi-Human, #11)",Gamon Sakurai,194,fiction,manga,Japan,4,2017
2021-02-09,2021-02-10,"Ajin: Demi-Human, Vol. 12 (Ajin: Demi-Human, #12)",Gamon Sakurai,190,fiction,manga,Japan,4,2018
2021-02-11,2021-02-14,"Ajin: Demi-Human, Vol. 13 (Ajin: Demi-Human, #13)",Gamon Sakurai,194,fiction,manga,Japan,4,2018
2021-02-14,2021-02-15,"Ajin: Demi-Human, Vol. 14 (Ajin: Demi-Human, #14)",Gamon Sakurai,194,fiction,manga,Japan,4,2019
2021-02-15,2021-02-17,"Ajin: Demi-Human, Vol. 15",Gamon Sakurai,194,fiction,manga,Japan,4,2019
-,2021-03-06,"Ajin, Volume 16",Gamon Sakurai,196,fiction,manga,Japan,4,2020
2021-03-18,2021-03-27,The Sailor Who Fell from Grace with the Sea,Yukio Mishima,181,fiction,existential fiction,Japan,3,1963
2021-03-29,2021-04-29,Phenomenology: The Basics,Dan Zahavi,168,non-fiction,philosophy,,3,2008
2021-05-20,2021-07-20,Pale Fire,Vladimir Nabokov,246,fiction,existential fiction,Russia,3,1962
2021-08-25,2021-09-10,Do Androids Dream of Electric Sheep? (Blade Runner #1),Philip K. Dick,193,fiction,science fiction,USA,4,1968
2022-05-04,2022-05-28,Covid By Numbers: Making Sense of the Pandemic with Data,David Spiegelhalter,300,non-fiction,other,UK,3,2021
2022-11-15,2023-01-05,"At the Existentialist Caf̩: Freedom, Being, and Apricot Cocktails",Sarah Bakewell,440,non-fiction,philosophy,UK,4,2016
2023-01-07,2023-03-14,Sophie's World,Jostein Gaarder,436,non-fiction,philosophy,UK,2,1991
2023-10-15,2023-12-15,What Is Existentialism? (Penguin Great Ideas),Simone de Beauvoir,128,non-fiction,philosophy,France,4,1944
2023-07-07,2023-07-17,Keep the Aspidistra Flying,George Orwell,288,fiction,literature,UK,4,1936
2022-10-12,2022-10-12,The Art of Statistics: Learning from Data (Pelican Books),David Spiegelhalter,426,non-fiction,other,UK,3,2019
